Desde,Hasta,% Sulf,Py,Cpy,Cc,Bo,Mo
408.0,410.0,1.24,0.39,0.51,0.0,0.26,0.08
410.0,412.0,1.09,0.38,0.45,0.0,0.23,0.03
412.0,414.0,0.96,0.35,0.39,0.0,0.2,0.02
414.0,416.0,1.95,0.37,1.04,0.0,0.52,0.02
416.0,418.0,4.46,0.43,2.69,0.0,1.34,0.0
418.0,420.0,6.58,0.46,4.08,0.0,2.04,0.0
420.0,422.0,2.47,0.41,1.53,0.0,0.51,0.02
422.0,424.0,2.03,0.38,1.24,0.0,0.41,0.0
424.0,426.0,1.75,0.39,1.02,0.0,0.34,0.0
426.0,428.0,1.89,0.37,1.1,0.0,0.37,0.05
428.0,430.0,1.48,0.38,0.81,0.0,0.27,0.02
430.0,432.0,1.3,0.37,0.68,0.0,0.23,0.02
432.0,434.0,1.84,0.38,1.08,0.0,0.36,0.02
434.0,436.0,1.04,0.35,0.52,0.0,0.17,0.0
436.0,438.0,1.37,0.37,0.75,0.0,0.25,0.0
438.0,440.0,1.75,0.37,1.02,0.0,0.34,0.02
440.0,442.0,2.03,0.39,1.17,0.0,0.39,0.08
442.0,444.0,1.17,0.36,0.59,0.0,0.2,0.02
444.0,446.0,1.18,0.38,0.56,0.0,0.19,0.05
446.0,448.0,1.03,0.35,0.49,0.0,0.16,0.03
448.0,450.0,1.15,0.35,0.58,0.0,0.19,0.03
450.0,452.0,0.93,0.35,0.41,0.0,0.14,0.03
452.0,454.0,0.9,0.34,0.4,0.0,0.13,0.03
454.0,456.0,0.93,0.33,0.41,0.0,0.14,0.05
456.0,458.0,1.04,0.35,0.47,0.0,0.16,0.06
458.0,460.0,1.04,0.38,0.45,0.0,0.15,0.06
460.0,462.0,0.77,0.33,0.31,0.0,0.1,0.03
462.0,464.0,0.91,0.36,0.4,0.0,0.13,0.02
464.0,466.0,1.24,0.4,0.59,0.0,0.2,0.05
466.0,468.0,0.9,0.39,0.36,0.0,0.12,0.03
468.0,470.0,1.06,0.4,0.47,0.0,0.16,0.03
470.0,472.0,1.52,0.41,0.71,0.0,0.35,0.05
472.0,474.0,1.45,0.38,0.68,0.0,0.34,0.05
474.0,476.0,1.12,0.39,0.47,0.0,0.23,0.03
476.0,478.0,1.27,0.42,0.53,0.0,0.26,0.06
478.0,480.0,1.32,0.45,0.53,0.0,0.26,0.08
480.0,482.0,1.29,0.42,0.54,0.0,0.27,0.06
482.0,484.0,1.18,0.43,0.48,0.0,0.24,0.03
484.0,486.0,1.21,0.39,0.51,0.0,0.26,0.05
486.0,488.0,1.03,0.35,0.44,0.0,0.22,0.02
488.0,490.0,1.06,0.41,0.42,0.0,0.21,0.02
490.0,492.0,0.96,0.42,0.35,0.0,0.17,0.02
492.0,494.0,0.82,0.37,0.29,0.0,0.14,0.02
494.0,496.0,0.91,0.39,0.33,0.0,0.17,0.02
496.0,498.0,0.91,0.41,0.32,0.0,0.16,0.02
498.0,500.0,0.89,0.46,0.27,0.0,0.14,0.02
500.0,502.0,0.8,0.35,0.29,0.0,0.14,0.02
502.0,504.0,0.82,0.37,0.29,0.0,0.14,0.02
504.0,506.0,0.84,0.38,0.27,0.0,0.14,0.05
506.0,508.0,0.82,0.37,0.29,0.0,0.14,0.02
508.0,510.0,0.83,0.39,0.26,0.0,0.13,0.05
510.0,512.0,0.81,0.4,0.26,0.0,0.13,0.02
512.0,514.0,0.79,0.37,0.26,0.0,0.13,0.03
514.0,516.0,0.81,0.38,0.27,0.0,0.14,0.02
516.0,518.0,0.85,0.41,0.27,0.0,0.14,0.03
518.0,520.0,0.92,0.42,0.3,0.0,0.15,0.05
520.0,522.0,0.98,0.39,0.38,0.0,0.19,0.02
522.0,524.0,1.1,0.39,0.39,0.0,0.2,0.12
524.0,526.0,1.14,0.39,0.47,0.0,0.23,0.05
526.0,528.0,1.23,0.37,0.56,0.0,0.28,0.02
528.0,530.0,1.29,0.37,0.6,0.0,0.3,0.02
530.0,532.0,1.55,0.41,0.74,0.0,0.37,0.03
532.0,534.0,1.28,0.36,0.6,0.0,0.3,0.02
534.0,536.0,1.23,0.36,0.56,0.0,0.28,0.03
536.0,538.0,2.51,0.45,1.27,0.0,0.63,0.16
538.0,540.0,1.51,0.42,0.69,0.0,0.35,0.05
540.0,542.0,1.62,0.39,0.79,0.0,0.39,0.05
542.0,544.0,1.25,0.44,0.53,0.0,0.26,0.02
544.0,546.0,1.3,0.4,0.59,0.0,0.29,0.02
546.0,548.0,1.83,0.43,0.88,0.0,0.44,0.08
548.0,550.0,1.38,0.34,0.68,0.0,0.34,0.02
550.0,552.0,1.53,0.37,0.76,0.0,0.38,0.02
552.0,554.0,1.57,0.34,0.82,0.0,0.41,0.0
554.0,556.0,1.12,0.37,0.5,0.0,0.25,0.0
556.0,558.0,1.14,0.42,0.47,0.0,0.23,0.02
558.0,560.0,1.7,0.36,0.88,0.0,0.44,0.02
560.0,562.0,1.48,0.4,0.72,0.0,0.36,0.0
562.0,564.0,1.19,0.4,0.51,0.0,0.26,0.02
564.0,566.0,0.87,0.37,0.32,0.0,0.16,0.02
566.0,568.0,0.75,0.37,0.24,0.0,0.12,0.02
568.0,570.0,0.85,0.38,0.3,0.0,0.15,0.02
570.0,572.0,0.76,0.4,0.24,0.0,0.12,0.0
572.0,574.0,0.87,0.4,0.3,0.0,0.15,0.02
574.0,576.0,0.71,0.37,0.23,0.0,0.11,0.0
576.0,578.0,0.71,0.35,0.24,0.0,0.12,0.0
578.0,580.0,0.75,0.37,0.24,0.0,0.12,0.02
580.0,582.0,0.69,0.35,0.21,0.0,0.11,0.02
582.0,584.0,0.81,0.4,0.27,0.0,0.14,0.0
584.0,586.0,0.85,0.38,0.3,0.0,0.15,0.02
586.0,588.0,1.48,0.38,0.72,0.0,0.36,0.02
588.0,590.0,1.04,0.41,0.42,0.0,0.21,0.0
